acotr id,name,dob ,gender, movie id
Act_69,Vivica A. Fox,7/25/1989,Male,Mov_560
Act_70,Gerard Butler,3/13/1970,Female,Mov_671
Act_71,Nick Stahl,12/6/1974,Female,Mov_269
Act_72,Bradley Cooper,5/31/1997,Male,Mov_629
Act_73,Matthew McConaughey,3/28/2003,Female,Mov_656
Act_74,Mark Chinnery,6/10/2001,Female,Mov_912
Act_75,Paul Walker,3/25/1975,Male,Mov_212
Act_76,Brad Pitt,1/11/1981,Male,Mov_587
Act_77,Nicolas Cage,4/13/1967,Female,Mov_928
Act_78,Justin Timberlake,1/13/2005,Female,Mov_953
Act_79,Dominic Cooper,12/17/2000,Male,Mov_295
Act_80,Bruce Spence,2/3/1960,Female,Mov_644
Act_81,Jennifer Garner,1/10/1955,Female,Mov_159
Act_82,Zack Ward,2/17/1995,Male,Mov_802
Act_83,Anthony Hopkins,8/20/1973,Male,Mov_651
Act_84,Robert Pattinson,10/26/1980,Female,Mov_182
Act_85,Janeane Garofalo,11/28/1975,Male,Mov_350
Act_86,Bernie Mac,6/30/1966,Male,Mov_381
Act_87,Robin Williams,11/20/2006,Female,Mov_150
Act_88,Essie Davis,1/19/1999,Male,Mov_346
Act_89,Josh Gad,4/20/1953,Female,Mov_784
Act_90,Steve Bastoni,6/13/1967,Female,Mov_393
Act_91,Kelli Garner,3/28/1977,Male,Mov_482
Act_92,Matthew Broderick,12/21/2010,Female,Mov_389
Act_93,Seychelle Gabriel,7/23/1983,Female,Mov_435
Act_94,Philip Seymour Hoffman,8/7/1995,Male,Mov_694
Act_95,Elisabeth Harnois,12/22/1992,Male,Mov_873
Act_96,Ty Burrell,5/24/2009,Female,Mov_415
Act_97,Jada Pinkett Smith,5/12/1974,Male,Mov_133
Act_98,Toby Stephens,7/28/1986,Female,Mov_715
Act_99,Ed Begley Jr.,11/4/1952,Female,Mov_15
Act_100,Bruce Willis,9/7/1969,Male,Mov_829
Act_101,John Michael Higgins,3/11/1990,Female,Mov_119
Act_102,Sam Shepard,10/2/2008,Female,Mov_50
Act_103,Matt Frewer,12/1/2003,Female,Mov_373
Act_104,Kevin Rankin,9/28/1979,Female,Mov_42
Act_105,Chris Evans,11/12/1976,Male,Mov_762
Act_106,Colin Salmon,5/14/1985,Male,Mov_328
Act_107,James D'Arcy,2/3/1950,Male,Mov_98
Act_108,Don Johnson,8/26/2009,Female,Mov_672
Act_109,Mark Rylance,11/18/1955,Female,Mov_9
Act_110,Matt Damon,3/13/2008,Female,Mov_401
Act_111,Jim Parsons,9/13/2007,Female,Mov_509
Act_112,Salma Hayek,2/28/1977,Male,Mov_185
Act_113,Toby Jones,11/4/1996,Female,Mov_119
Act_114,Daniel Radcliffe,2/26/1961,Female,Mov_315
Act_115,Alfre Woodard,4/5/1999,Male,Mov_300
Act_116,Rupert Grint,5/17/1981,Female,Mov_795
Act_117,Miguel Ferrer,5/8/1985,Male,Mov_512
Act_118,Ronny Cox,10/11/1991,Female,Mov_126
Act_119,Tony Curran,4/14/2007,Female,Mov_687
Act_120,Jeremy Renner,7/30/2001,Male,Mov_96
Act_121,Michael Gough,2/29/1964,Male,Mov_411
Act_122,Clint Howard,10/11/2009,Female,Mov_434
Act_123,Karen Allen,2/19/1992,Male,Mov_271
Act_124,Suraj Sharma,4/23/1951,Male,Mov_734
Act_125,Demi Moore,5/29/1997,Female,Mov_33
Act_126,Michael Fassbender,11/9/1973,Female,Mov_696
Act_127,Nathan Lane,12/20/1951,Female,Mov_713
Act_128,Vin Diesel,9/17/2000,Female,Mov_159
Act_129,Scott Porter,12/19/1952,Male,Mov_212
Act_130,Shelley Conn,3/27/1989,Female,Mov_539
Act_131,Morgan Freeman,6/9/1965,Male,Mov_542
Act_132,Natalie Portman,4/25/2000,Male,Mov_559
Act_133,Alain Delon,11/8/1970,Female,Mov_435
Act_134,Noel Fisher,6/3/1975,Male,Mov_973
Act_135,Phaldut Sharma,12/18/1988,Female,Mov_144
Act_136,Jamie Rene Smith,10/3/2008,Female,Mov_513
Act_137,Stephen Amell,4/2/1996,Male,Mov_690
Act_138,Tim Blake Nelson,7/6/1971,Male,Mov_762
Act_139,Dwayne Johnson,8/19/1965,Female,Mov_993
Act_140,Vincent Schiavelli,2/23/1997,Female,Mov_251
Act_141,Heath Ledger,3/29/1990,Female,Mov_68
Act_142,Kate Winslet,12/30/1952,Female,Mov_205
Act_143,James Corden,7/22/1987,Female,Mov_7
Act_144,George Peppard,12/9/2004,Male,Mov_463
Act_145,Eva Green,6/14/2009,Male,Mov_807
Act_146,Mahadeo Shivraj,12/31/1961,Male,Mov_343
Act_147,Jacob Tremblay,10/8/1954,Female,Mov_255
Act_148,Jason Patric,5/24/1986,Female,Mov_976
Act_149,Sean Hayes,5/20/1991,Male,Mov_222
Act_150,Chazz Palminteri,9/26/1995,Male,Mov_158
